Country Name,Access to electricity (% of population),Adolescents out of school (% of lower secondary school age),Adults (ages 15-49) newly infected with HIV,Bank liquid reserves to bank assets ratio (%),"Death rate, crude (per 1,000 people)","Life expectancy at birth, total (years)",Lifetime risk of maternal death (%),Number of deaths ages 5-9 years,Number of deaths ages 10-14 years,Number of deaths ages 15-19 years,Number of deaths ages 20-24 years,Number of infant deaths,Number of maternal deaths,Number of neonatal deaths,Number of under-five deaths
East Asia & Pacific (IDA & IBRD countries),98.7474424069608,,,33.8525642037687,7.66650078943162,75.9085643603807,0.0912345899464768,39635,39368,66616,97665,239649,13000,150402,306107
Euro area,100,,,,10.5463563309458,82.1920076156423,0.00755135108344198,1266,1535,4077,6427,8732,160,6298,10649
Europe & Central Asia,100,,,,10.0886319566571,78.3870183177038,0.0154969868376293,11585,12401,24870,41293,63703,1100,39702,78100
Europe & Central Asia (excluding high income),100,,,27.58632914085,7.97806317632973,74.7987152767476,0.035692227482185,8325,8112,12477,16341,43734,640,26968,53856
Europe & Central Asia (IDA & IBRD countries),100,,,27.0954617929976,9.86874792021596,74.7300564025194,0.0246505663209852,9917,10344,19228,32312,51148,790,30810,63046
European Union,100,,,,10.7680463090022,81.4114503796876,0.00753399315002682,1759,2217,5791,9051,12061,200,8361,14695
Fragile and conflict affected situations,58.950109305747,,,34.4315454695317,8.33367263533115,63.3499447771075,1.97190491438106,217142,137006,194130,231676,1500781,152000,902101,2265331
Heavily indebted poor countries (HIPC),50.5311127498598,,,18.4186329437083,6.96898063281521,64.7159054177481,1.51642068518758,194281,119977,186706,210601,1277463,101000,795805,1847829
High income,99.9884050236975,1.5,,,9.70740642312844,80.1500151183354,0.0126063245730226,7739,10206,32308,58291,52738,1300,33093,63458
IBRD only,99.088645099492,,,22.4492497022658,7.2541421030701,74.5209699459191,0.117578615578778,117735,134872,241350,360090,1095190,42000,734245,1316827
IDA & IBRD total,90.3151089144033,,,21.9823335764182,7.26316083774689,72.0008209186498,0.487867371706603,442388,342147,537723,700897,3484492,244000,2251744,4714815
IDA blend,77.9201343756954,,,23.3375084548044,8.44402069033263,62.4621643327349,1.96498665101936,126249,77443,82896,103587,969765,97000,624760,1409381
IDA only,61.9201921189084,,,19.8041356603629,6.66739253426335,67.0538318903115,1.13837211729836,198404,129832,213477,237220,1419537,105000,892739,1988607
IDA total,67.5014937828868,,,20.747980997522,7.2865913366302,65.4535223135408,1.42514968040108,324653,207275,296373,340807,2389302,202000,1517499,3397988
Late-demographic dividend,99.4571757576784,,,18.2739785996057,7.93997462560723,77.130120543495,0.0369931394548256,28033,32825,63307,112046,150638,5900,96558,196384
Latin America & Caribbean,98.4226204748397,,,21.3901435735033,6.5987123349605,75.6435293327332,0.126704409247224,12621,16708,47363,78713,126222,7200,80663,148653
Latin America & Caribbean (excluding high income),98.2687443423624,,,22.6411905746124,6.52894386153918,75.4986013301866,0.128716165141693,11579,15152,41229,69000,113786,5800,71902,134379
Latin America & the Caribbean (IDA & IBRD countries),98.3852491204833,,,22.0015577374566,6.51473444834791,75.5699258379688,0.139160055297887,12498,16555,47064,78227,125536,6900,80222,147785
Least developed countries: UN classification,58.4341452966049,,,13.3131943085226,6.73797472384706,66.5161002597788,1.22466468884253,200543,128474,212929,236766,1422614,105000,894369,2014275
Low & middle income,90.4920711750527,,,21.8755061350687,7.14948286792237,71.9740048771462,0.49519069602898,429989,332241,508515,660202,3327250,235000,2131814,4515002
Low income,45.2721918756793,40.9000015258789,,14.492651753908,7.29225160483358,64.5178957936853,1.51354208088753,147815,98615,157146,178062,1063438,88000,652441,1525554
Lower middle income,91.2680749757223,15.8999996185303,,21.9289198557434,6.8684419150298,69.5963746571515,0.535456507368489,238414,183680,257229,328587,2070569,151000,1381541,2753967
