Country Name,Access to electricity (% of population),Adolescents out of school (% of lower secondary school age),Adults (ages 15-49) newly infected with HIV,Bank liquid reserves to bank assets ratio (%),"Death rate, crude (per 1,000 people)","Life expectancy at birth, total (years)",Lifetime risk of maternal death (%),Number of deaths ages 5-9 years,Number of deaths ages 10-14 years,Number of deaths ages 15-19 years,Number of deaths ages 20-24 years,Number of infant deaths,Number of maternal deaths,Number of neonatal deaths,Number of under-five deaths
Lithuania,100,0.0827099978923798,200,,12.9,76.9878048780488,0.00809413242449933,16,18,50,91,61,2,42,75
Luxembourg,100,1.89582002162933,100,,6.6,83.3585365853659,0.0149707384852632,2,2,7,7,14,1,11,16
"Macao SAR, China",100,9.76646706586826,,5.14741059092844,4.4,83.1804878048781,,,,,,,,,
Madagascar,39.4,39.1977094154771,12000,16.6392092930704,7.528,63.632,1.80619396362585,9497,4772,4989,5621,43642,4500,23855,63429
Malawi,15.6,28.8908747064569,10000,45.4799053115181,5.363,67.353,0.883491104785073,3711,2659,3267,4348,19212,1500,12460,24893
Malaysia,100,17.3052644906496,2600,7.57417437954368,5.158,76.657,0.039275490714337,350,442,1143,2214,2921,120,1776,3523
Maldives,100,4.18143116590054,100,35.4505278591289,2.338,81.041,0.0516036682548267,4,8,13,9,29,2,22,34
Mali,54.5,,2800,6.9953219132141,8.627,60.439,2.04575192522473,8564,5156,5109,5556,53652,3500,30771,83597
Malta,100,1.87729001045227,100,,7.3,83.5073170731707,0.00903978004941683,2,2,4,8,21,0,15,23
Marshall Islands,100,3.29177034357071,,,6.968,66.945,0.415565821526843,3,3,4,4,20,1,11,25
Mauritania,50.3,,200,,5.52,68.484,1.73349735485429,612,340,691,687,5289,660,3710,6402
Mauritius,100,10.3531656240295,,11.5965492174839,9.4,73.4121951219512,0.0734433503709764,10,14,50,86,161,8,106,183
Mexico,99.7,8.28357028961182,21000,7.15119110000245,6.161,75.069,0.075514952353871,2374,3373,9087,14370,22018,860,15479,25584
"Micronesia, Fed. Sts.",86.9,19.9308491639009,,,7.64,67.198,0.353568292870428,7,5,10,13,52,3,31,58
Moldova,100,0.895018647672383,640,55.4036073412071,13.606,71.198,0.0261168141668497,42,53,107,127,438,6,355,482
Monaco,100,,,,20.971,86.372,0.00935658347576932,0,0,0,0,1,0,1,1
Mongolia,100,6.39821944843906,100,57.1818353147114,5.5,72.1224390243902,0.0982595991150086,115,134,185,213,750,26,484,915
Montenegro,100,0.0545400008559227,100,20.6323610648427,10.1,77.5878048780488,0.00863670709534271,3,5,18,20,15,0,7,18
Morocco,100,4.66689536537104,890,2.76590655930642,5.638,75.313,0.142810071002803,1092,801,1422,1842,9777,440,6413,10483
Mozambique,36,,77000,94.4811966105933,7.002,63.611,0.493529098309261,4955,3131,5526,7038,56375,1300,32015,75675
Myanmar,76.8,,10000,,9.153,66.889,0.355824444714071,1803,1650,3340,7074,30732,1700,18611,35008
Namibia,56.7,1.77811418787173,3600,7.84052960987582,6.169,67.385,0.444660824259992,279,209,337,622,2916,110,1848,3085
Nauru,100,9.62380027770996,,,7.519,62.109,0.857274530290705,0,0,0,0,3,1,1,3
Nepal,94,3.78437238478038,600,6.86722638251436,6.932,70.354,0.30164262313966,1378,1148,2379,3278,13432,820,9523,15282
Netherlands,100,0.634899973869324,500,,9.5,81.9146341463415,0.00551962356429167,60,86,219,362,589,7,437,675
New Caledonia,100,,,,6.271,78.766,,,,,,,,,
New Zealand,100,2.29409003257752,100,8.21347649815353,7.23,83.0048780487805,0.0106799730730031,25,42,120,174,235,4,160,276
Nicaragua,88.3,16.5477294921875,,39.1885708897195,4.586,74.947,0.134998722202064,157,261,471,668,1360,80,1112,1780
Niger,20.1,73.7996006040257,680,4.32055725991739,8.859,61.183,2.13445035913264,15031,8593,5521,7500,71882,3800,36965,119782
Nigeria,61.2,,39000,54.8797722520829,11.74,54.462,4.06118875796305,76308,37896,36277,41321,443714,75000,252871,768479
North Macedonia,100,,100,28.5418649304032,11,75.3160975609756,0.0034029477488806,12,15,36,49,50,0,24,59
Northern Mariana Islands,100,,,,4.704,78.808,,,,,,,,,
Norway,100,0.864600002765656,,0.695953014520605,7.9,83.1121951219512,0.00165357099848482,18,26,88,128,99,1,68,122
Oman,100,,200,5.90631224767754,1.901,80.031,0.0325956235195614,114,89,151,254,679,11,399,851
Pakistan,95.6,30.3612676493597,,21.9823335764182,6.466,67.649,0.564582679346536,23611,20008,20497,29329,341323,11000,258588,397325
Palau,100,2.04189403274073,,,11.495,69.269,0.132854695789117,0,0,2,4,4,0,2,4
Panama,97,20.3929469682417,1400,2.70787650928301,4.771,79.594,0.0730352288673397,110,135,262,421,757,26,472,952
Papua New Guinea,20.5,31.2748160139634,7300,34.2469975748083,6.516,66.134,0.56078306602882,1041,747,1304,1516,8145,480,5236,10262
Paraguay,99.8,15.9077857309684,1100,24.2932756967275,5.703,73.844,0.141295781917901,116,166,480,716,2072,80,1242,2332
Peru,96.2,,6100,,5.491,77.74,0.09636409998616,722,831,1662,2359,7305,280,4188,8536
Philippines,98,10.8775357841817,27000,22.4492497022658,6.236,69.833,0.157330697648822,4833,5302,9542,13053,40449,1500,25699,49616
Poland,100,0.151339992880821,,22.5039727258463,11.1,78.5073170731707,0.00170414372230548,180,278,712,1106,1172,5,749,1393
Portugal,100,0.529569983482361,730,,11.2,82.2804878048781,0.0174714850275473,34,47,137,208,219,13,138,269
Puerto Rico (US),100,14.7535400390625,,,10.7,81.69,0.00874760963215272,,,,,,2,,
Qatar,100,,200,5.59084235086411,0.93,82.368,0.00705654446278121,25,19,52,57,143,1,110,175
Romania,100,16.26296043396,500,25.463323733047,12.7,76.6073170731707,0.0152356754960733,124,170,380,505,990,21,613,1230
Russian Federation,100,0.274703111293506,,,12.1,73.2546341463415,0.0108257869337249,1214,1697,5445,14076,4812,120,2230,6036
Rwanda,63.9,4.53972835181246,2200,15.6721091992934,5.935,67.785,0.798631653532599,959,650,1229,1435,11971,910,7168,15705
Samoa,100,0.651548151162724,,45.418349073766,6.157,71.698,0.361510796653758,7,5,14,12,71,6,34,88
San Marino,100,8.65921787709497,,,8.3,85.706,0.00646295928245226,0,0,0,0,0,0,0,0
Sao Tome and Principe,81.3,,,56.9613081994523,5.572,69.718,0.271476145614486,8,10,30,50,61,5,44,89
Saudi Arabia,100,,1300,,2.34,78.732,0.0172489883450927,445,373,1967,2563,2529,40,1614,3201
Senegal,74.2,65.3635409852827,2700,10.8329527535562,5.581,68.683,0.895213795062516,2033,1886,2318,1808,15809,1300,11862,19997
Serbia,100,,200,39.3845499232408,14.7,76.2209756097561,0.0131096122082686,35,48,106,165,270,6,190,319
Seychelles,100,1.79552175749894,,15.6930790308665,7.3,74.9585365853659,0.0774957505227355,2,2,7,6,23,1,15,25
Sierra Leone,35.5,8.50976173200897,1900,17.4979438582272,8.287,61.786,1.35393949814646,3054,1892,2799,3004,14355,920,7569,23993
Singapore,100,0.372747027269882,200,,6.2,82.8951219512195,0.00582412670936195,15,23,89,152,80,3,43,96
Sint Maarten (Dutch part),100,,,,8.126,76.371,,,,,,,,,
Slovak Republic,100,1.62361001968384,100,,10,78.0170731707317,0.00562828128113199,33,39,86,121,266,2,159,323
Slovenia,100,1.35387003421783,100,,10.2,81.9780487804878,0.0041685487901763,6,8,23,29,33,1,23,41
Solomon Islands,81.3,23.4989834669383,,105.974545069823,5.141,70.528,0.423396397596911,48,38,72,83,353,26,179,437
